state,year,quarter,name,count,amount
andaman-&-nicobar-islands,2020,1,Peer-to-peer payments,18324,142332401.79
andaman-&-nicobar-islands,2020,1,Recharge & bill payments,18268,10850414.02
andaman-&-nicobar-islands,2020,1,Merchant payments,4424,7752871.56
andaman-&-nicobar-islands,2020,1,Financial Services,66,208231.73
andaman-&-nicobar-islands,2020,1,Others,216,332393.19
andaman-&-nicobar-islands,2020,2,Recharge & bill payments,38125,17659622.73
andaman-&-nicobar-islands,2020,2,Peer-to-peer payments,20303,141728757.74
andaman-&-nicobar-islands,2020,2,Merchant payments,4004,9236375.74
andaman-&-nicobar-islands,2020,2,Financial Services,175,706932.14
andaman-&-nicobar-islands,2020,2,Others,355,313313.06
andaman-&-nicobar-islands,2020,3,Recharge & bill payments,59310,24756220.88
andaman-&-nicobar-islands,2020,3,Peer-to-peer payments,40697,289078946.73
andaman-&-nicobar-islands,2020,3,Merchant payments,16096,22682992.24
andaman-&-nicobar-islands,2020,3,Financial Services,572,961836.71
andaman-&-nicobar-islands,2020,3,Others,808,539449.77
andaman-&-nicobar-islands,2020,4,Peer-to-peer payments,81439,533316526.18
andaman-&-nicobar-islands,2020,4,Recharge & bill payments,80811,33710030.53
andaman-&-nicobar-islands,2020,4,Merchant payments,59391,56867468.94
andaman-&-nicobar-islands,2020,4,Financial Services,965,1880546.97
andaman-&-nicobar-islands,2020,4,Others,1925,1508083.69
andaman-&-nicobar-islands,2021,1,Peer-to-peer payments,105458,665391395.72
andaman-&-nicobar-islands,2021,1,Recharge & bill payments,84119,37160922.87
andaman-&-nicobar-islands,2021,1,Merchant payments,53090,78606979.06
andaman-&-nicobar-islands,2021,1,Financial Services,884,1469351.09
andaman-&-nicobar-islands,2021,1,Others,1201,1077918.67
andaman-&-nicobar-islands,2021,2,Peer-to-peer payments,132772,748382044.77
andaman-&-nicobar-islands,2021,2,Recharge & bill payments,120911,43691961.26
andaman-&-nicobar-islands,2021,2,Merchant payments,85143,103707408.51
andaman-&-nicobar-islands,2021,2,Financial Services,960,2038521.51
andaman-&-nicobar-islands,2021,2,Others,1628,1327080.06
andaman-&-nicobar-islands,2021,3,Peer-to-peer payments,192321,1077787837.16
andaman-&-nicobar-islands,2021,3,Recharge & bill payments,136010,51243450.86
andaman-&-nicobar-islands,2021,3,Merchant payments,118340,176991328.22
andaman-&-nicobar-islands,2021,3,Financial Services,990,2351013.44
andaman-&-nicobar-islands,2021,3,Others,2103,1650766.13
andaman-&-nicobar-islands,2021,4,Peer-to-peer payments,285778,1544932663.27
andaman-&-nicobar-islands,2021,4,Merchant payments,210164,322842314.62
andaman-&-nicobar-islands,2021,4,Recharge & bill payments,135608,59243518.11
andaman-&-nicobar-islands,2021,4,Financial Services,1718,3137965.17
andaman-&-nicobar-islands,2021,4,Others,2855,2453640.14
andaman-&-nicobar-islands,2022,1,Peer-to-peer payments,342649,1682328505.73
andaman-&-nicobar-islands,2022,1,Merchant payments,284298,370091558.68
andaman-&-nicobar-islands,2022,1,Recharge & bill payments,163401,71300133.66
andaman-&-nicobar-islands,2022,1,Financial Services,1757,2869682.02
andaman-&-nicobar-islands,2022,1,Others,2643,2440321.98
andaman-&-nicobar-islands,2022,2,Merchant payments,449540,510838980.91
andaman-&-nicobar-islands,2022,2,Peer-to-peer payments,437606,2088309073.46
andaman-&-nicobar-islands,2022,2,Recharge & bill payments,179515,82232936.62
andaman-&-nicobar-islands,2022,2,Financial Services,1448,2089862.39
andaman-&-nicobar-islands,2022,2,Others,3108,2449496.71
andaman-&-nicobar-islands,2022,3,Merchant payments,716105,693438186.3
andaman-&-nicobar-islands,2022,3,Peer-to-peer payments,622217,2514535154.56
